"routing","phase_index","average_load","accepted_rate_avg","avg_packet_latency_avg","dr_fraction_avg","dsl_fraction_avg"
"dfm_dr","0","0.05","0.04962406","10.05124","1","0"
"dfm_dr","1","0.1","0.0747176","10.08422","1","0"
"dfm_dr","2","0.15","0.1504352","10.17734","1","0"
"dfm_dr","3","0.2","0.1753742","10.21994","1","0"
"dfm_dr","4","0.25","0.2000426","10.2821","1","0"
"dfm_dr","5","0.3","0.2252642","10.37082","1","0"
"dfm_dr","6","0.35","0.2503114","10.51668","1","0"
"dfm_dr","7","0.4","0.2752398","10.88644","1","0"
"dfm_dr","8","0.45","0.2996392","13.9149","1","0"
"dfm_dr","9","0.5","0.3223628","27.02084","1","0"
"dfm_dr","10","0.55","0.343681","57.2262","1","0"
"dfm_dr","11","0.6","0.3640998","105.4126","1","0"
"dfm_dr","12","0.65","0.3838302","169.9834","1","0"
"dfm_dr","13","0.7","0.4030296","248.6684","1","0"
"dfm_dr","14","0.75","0.421898","338.9218","1","0"
"dfm_dr","15","0.8","0.4404192","438.604","1","0"
"dfm_dr","16","0.8","0.4565062","547.334","1","0"
"dfm_dr","17","0.8","0.4705712","662.5842","1","0"
"dfm_dsl","0","0.05","0.04954444","15.8194","0","1"
"dfm_dsl","1","0.1","0.07461852","15.87814","0","1"
"dfm_dsl","2","0.15","0.1503184","15.96128","0","1"
"dfm_dsl","3","0.2","0.175302","16.00428","0","1"
"dfm_dsl","4","0.25","0.1999624","16.0522","0","1"
"dfm_dsl","5","0.3","0.2251688","16.10164","0","1"
"dfm_dsl","6","0.35","0.2502222","16.15506","0","1"
"dfm_dsl","7","0.4","0.2751744","16.21046","0","1"
"dfm_dsl","8","0.45","0.3000976","16.26704","0","1"
"dfm_dsl","9","0.5","0.3250692","16.32756","0","1"
"dfm_dsl","10","0.55","0.3499966","16.39136","0","1"
"dfm_dsl","11","0.6","0.374895","16.4593","0","1"
"dfm_dsl","12","0.65","0.3998982","16.53316","0","1"
"dfm_dsl","13","0.7","0.4248638","16.61276","0","1"
"dfm_dsl","14","0.75","0.44988","16.70152","0","1"
"dfm_dsl","15","0.8","0.474894","16.80354","0","1"
"dfm_dsl","16","0.8","0.4965674","16.8833","0","1"
"dfm_dsl","17","0.8","0.5155842","16.94834","0","1"
"dfm_hybrid_dr_dsl","0","0.05","0.04962406","10.09162","0","1"
"dfm_hybrid_dr_dsl","1","0.1","0.07471204","10.1773","0","1"
"dfm_hybrid_dr_dsl","2","0.15","0.1503556","10.9679","0","1"
"dfm_hybrid_dr_dsl","3","0.2","0.1752074","12.86144","0","1"
"dfm_hybrid_dr_dsl","4","0.25","0.1999012","14.21034","0","1"
"dfm_hybrid_dr_dsl","5","0.3","0.2251256","14.87498","0","1"
"dfm_hybrid_dr_dsl","6","0.35","0.2501912","15.2716","0","1"
"dfm_hybrid_dr_dsl","7","0.4","0.2751444","15.53962","0","1"
"dfm_hybrid_dr_dsl","8","0.45","0.3000716","15.7406","0","1"
"dfm_hybrid_dr_dsl","9","0.5","0.3250452","15.90188","0","1"
"dfm_hybrid_dr_dsl","10","0.55","0.3499772","16.04","0","1"
"dfm_hybrid_dr_dsl","11","0.6","0.3748774","16.16292","0","1"
"dfm_hybrid_dr_dsl","12","0.65","0.3998852","16.2799","0","1"
"dfm_hybrid_dr_dsl","13","0.7","0.424847","16.3935","0","1"
"dfm_hybrid_dr_dsl","14","0.75","0.4498666","16.51122","0","1"
"dfm_hybrid_dr_dsl","15","0.8","0.4748806","16.63678","0","1"
"dfm_hybrid_dr_dsl","16","0.8","0.4965556","16.7338","0","1"
"dfm_hybrid_dr_dsl","17","0.8","0.5155722","16.81434","0","1"
