"model","model_title","routing","phase_index","average_load","accepted_rate_avg","avg_packet_latency_avg","xy_fraction_avg","racke_fraction_avg"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","0","0.05","0.05002222","13.00578","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","1","0.1","0.07516666","13.00242","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","2","0.15","0.1504298","13.03698","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","3","0.2","0.1748444","13.05784","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","4","0.25","0.1995432","13.07808","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","5","0.3","0.2250978","13.11078","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","6","0.35","0.2502534","13.1476","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","7","0.4","0.2752556","13.22286","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","8","0.45","0.3005778","13.39722","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","9","0.5","0.3252128","15.18798","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","10","0.55","0.3475052","26.10766","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","11","0.6","0.368349","57.22822","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","12","0.6","0.385385","105.79764","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","dim_order","13","0.6","0.399685","168.0442","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","0","0.05","0.05000002","14.40986","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","1","0.1","0.07514816","14.43604","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","2","0.15","0.1503484","14.54764","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","3","0.2","0.1747964","14.60842","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","4","0.25","0.199504","14.67364","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","5","0.3","0.2250648","14.75422","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","6","0.35","0.2502058","14.8328","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","7","0.4","0.275231","14.91916","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","8","0.45","0.3005418","15.0168","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","9","0.5","0.325552","15.11672","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","10","0.55","0.3502418","15.2209","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","11","0.6","0.3752222","15.33452","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","12","0.6","0.3958898","15.41794","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","racke_tree","13","0.6","0.4128914","15.47832","0","1"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","0","0.05","0.05002222","13.00578","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","1","0.1","0.07516666","13.00242","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","2","0.15","0.1504298","13.03698","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","3","0.2","0.1748444","13.05784","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","4","0.25","0.1995432","13.07808","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","5","0.3","0.2250978","13.11078","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","6","0.35","0.2502534","13.1476","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","7","0.4","0.2752556","13.22286","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","8","0.45","0.3005778","13.39722","1","0"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","9","0.5","0.3253406","14.96162","0.9932034","0.0067966"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","10","0.55","0.3497366","20.33974","0.8389106","0.1610894"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","11","0.6","0.3747108","26.017","0.6389234","0.3610766"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","12","0.6","0.3952356","30.2913","0.623652","0.376348"
"linear_scale","Linear Scaling on Fixed Permutation Matrix","hybrid_xy_racke","13","0.6","0.412355","33.33646","0.6212622","0.3787378"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","0","0.05","0.04945926","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","1","0.1","0.07402962","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","2","0.15","0.1491186","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","3","0.2","0.1743112","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","4","0.25","0.1991136","11.49922","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","5","0.3","0.224487","12.00228","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","6","0.35","0.2493228","12.38948","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","7","0.4","0.2707418","29.02402","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","8","0.45","0.2932762","65.57878","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","9","0.5","0.316474","109.551","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","10","0.55","0.3398708","155.3352","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","11","0.6","0.3614532","208.7808","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","12","0.6","0.3791642","275.5566","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","dim_order","13","0.6","0.3939548","349.9256","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","0","0.05","0.04941484","13.25106","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","1","0.1","0.0739852","13.25638","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","2","0.15","0.1490668","13.35214","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","3","0.2","0.1742814","13.4648","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","4","0.25","0.1990862","13.86152","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","5","0.3","0.2244556","14.25498","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","6","0.35","0.2492904","14.54922","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","7","0.4","0.2744298","14.7419","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","8","0.45","0.2995122","14.87468","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","9","0.5","0.3245888","14.9605","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","10","0.55","0.3494008","15.0453","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","11","0.6","0.3744674","15.18496","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","12","0.6","0.395204","15.2889","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","13","0.6","0.412261","15.3647","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","0","0.05","0.04945926","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","1","0.1","0.07402962","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","2","0.15","0.1491186","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","3","0.2","0.1743112","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","4","0.25","0.1991136","11.49922","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","5","0.3","0.224487","12.00228","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","6","0.35","0.2493228","12.38948","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","7","0.4","0.273805","18.96884","0.801703","0.198297"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","8","0.45","0.298905","24.40568","0.7877478","0.2122522"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","9","0.5","0.324038","27.4355","0.7850314","0.2149686"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","10","0.55","0.3490978","29.34076","0.7835038","0.2164962"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","11","0.6","0.3738408","34.90112","0.6003876","0.3996124"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","12","0.6","0.3945892","37.8262","0.6249156","0.3750844"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","13","0.6","0.4116426","39.8477","0.6219058","0.3780942"
